blind_id,condition,location,score
FMT006,full_stripped,welfare,-1.4658082723617554
FMT009,full_stripped,welfare,-3.6229138374328613
FMT010,full_stripped,welfare,-4.336806297302246
FMT011,full_stripped,welfare,-5.776130199432373
FMT015,full_stripped,welfare,-4.670531749725342
FMT016,full_stripped,welfare,-4.075565814971924
FMT018,full_stripped,welfare,-3.9567840099334717
FMT023,full_stripped,welfare,-6.707692623138428
FMT025,full_stripped,welfare,-5.183106899261475
FMT026,full_stripped,welfare,-2.4177091121673584
FMT030,full_stripped,welfare,-4.5646467208862305
FMT031,full_stripped,welfare,-3.3841357231140137
FMT032,full_stripped,welfare,-5.2055253982543945
FMT033,full_stripped,welfare,-3.481023073196411
FMT037,full_stripped,welfare,-3.767627477645874
FMT038,full_stripped,welfare,-3.0141263008117676
FMT039,full_stripped,welfare,-4.20029354095459
FMT041,full_stripped,welfare,-6.953618049621582
FMT042,full_stripped,welfare,-1.539103388786316
FMT043,full_stripped,welfare,-4.754702568054199
FMT045,full_stripped,welfare,-5.171825885772705
FMT048,full_stripped,welfare,-7.761559963226318
FMT050,full_stripped,welfare,-5.3772501945495605
FMT051,full_stripped,welfare,-5.699637413024902
FMT052,full_stripped,welfare,-4.6086273193359375
FMT055,full_stripped,welfare,-3.2383480072021484
FMT056,full_stripped,welfare,-4.149175643920898
FMT062,full_stripped,welfare,-2.771820545196533
FMT063,full_stripped,welfare,-5.096749305725098
FMT065,full_stripped,welfare,-4.680933475494385
FMT069,full_stripped,welfare,-4.477234840393066
FMT071,full_stripped,welfare,-2.101501703262329
FMT074,full_stripped,welfare,-7.692737579345703
FMT079,full_stripped,welfare,-2.9762165546417236
FMT080,full_stripped,welfare,-6.12224817276001
FMT081,full_stripped,welfare,-5.54011869430542
FMT083,full_stripped,welfare,-4.6926374435424805
FMT085,full_stripped,welfare,-5.096292018890381
FMT091,full_stripped,welfare,-5.187127113342285
FMT097,full_stripped,welfare,-2.152181625366211
FMT099,full_stripped,welfare,-5.7862114906311035
FMT104,full_stripped,welfare,-5.29806661605835
FMT106,full_stripped,welfare,-2.8168163299560547
FMT110,full_stripped,welfare,-3.889796018600464
FMT111,full_stripped,welfare,-4.242928981781006
FMT114,full_stripped,welfare,-5.4307637214660645
FMT006,full_stripped,nearby,-4.995842456817627
FMT009,full_stripped,nearby,-0.7406731843948364
FMT010,full_stripped,nearby,-1.1791515350341797
FMT011,full_stripped,nearby,-1.2611135244369507
FMT015,full_stripped,nearby,-1.320092797279358
FMT016,full_stripped,nearby,-1.2394397258758545
FMT018,full_stripped,nearby,-4.052771091461182
FMT023,full_stripped,nearby,-1.4490234851837158
FMT025,full_stripped,nearby,-2.447469472885132
FMT026,full_stripped,nearby,-0.011004285886883736
FMT030,full_stripped,nearby,-2.352962017059326
FMT031,full_stripped,nearby,-1.463692545890808
FMT032,full_stripped,nearby,-1.5480470657348633
FMT033,full_stripped,nearby,-3.1119179725646973
FMT037,full_stripped,nearby,-1.286173701286316
FMT038,full_stripped,nearby,-1.545069932937622
FMT039,full_stripped,nearby,-0.9721231460571289
FMT041,full_stripped,nearby,-3.8498306274414062
FMT042,full_stripped,nearby,-2.9430394172668457
FMT043,full_stripped,nearby,-0.6656315922737122
FMT045,full_stripped,nearby,-4.0939717292785645
FMT048,full_stripped,nearby,-1.8150074481964111
FMT050,full_stripped,nearby,-3.5968105792999268
FMT051,full_stripped,nearby,-1.7999602556228638
FMT052,full_stripped,nearby,-1.9467875957489014
FMT055,full_stripped,nearby,-3.23236083984375
FMT056,full_stripped,nearby,-2.9153714179992676
FMT062,full_stripped,nearby,-2.354907512664795
FMT063,full_stripped,nearby,-1.8288562297821045
FMT065,full_stripped,nearby,-3.3326377868652344
FMT069,full_stripped,nearby,-0.3591208755970001
FMT071,full_stripped,nearby,-2.3506431579589844
FMT074,full_stripped,nearby,-3.5821168422698975
FMT079,full_stripped,nearby,-3.6012604236602783
FMT080,full_stripped,nearby,-2.3194451332092285
FMT081,full_stripped,nearby,-1.7607251405715942
FMT083,full_stripped,nearby,-2.1746139526367188
FMT085,full_stripped,nearby,-1.8772467374801636
FMT091,full_stripped,nearby,-0.5437666773796082
FMT097,full_stripped,nearby,-2.3779146671295166
FMT099,full_stripped,nearby,-4.191039562225342
FMT104,full_stripped,nearby,-0.8723215460777283
FMT106,full_stripped,nearby,-1.16102135181427
FMT110,full_stripped,nearby,-2.536395311355591
FMT111,full_stripped,nearby,-4.614901065826416
FMT114,full_stripped,nearby,-0.37648826837539673
