blind_id,condition,location,score
FMT006,full_rewrite,welfare,-0.08382503688335419
FMT009,full_rewrite,welfare,-0.16937914490699768
FMT010,full_rewrite,welfare,-0.40564391016960144
FMT011,full_rewrite,welfare,-0.1115134209394455
FMT015,full_rewrite,welfare,-0.12788015604019165
FMT016,full_rewrite,welfare,-0.10744944959878922
FMT018,full_rewrite,welfare,-0.2070857435464859
FMT023,full_rewrite,welfare,-0.29031938314437866
FMT025,full_rewrite,welfare,-0.11592401564121246
FMT026,full_rewrite,welfare,-0.05992592126131058
FMT030,full_rewrite,welfare,-0.08394487202167511
FMT031,full_rewrite,welfare,-0.20397499203681946
FMT032,full_rewrite,welfare,-0.18057160079479218
FMT033,full_rewrite,welfare,-0.08979441970586777
FMT037,full_rewrite,welfare,-0.1420542597770691
FMT038,full_rewrite,welfare,-0.07189631462097168
FMT039,full_rewrite,welfare,-0.41221123933792114
FMT041,full_rewrite,welfare,-0.1961023509502411
FMT042,full_rewrite,welfare,-0.11175350844860077
FMT043,full_rewrite,welfare,-0.24368703365325928
FMT045,full_rewrite,welfare,-0.22439779341220856
FMT048,full_rewrite,welfare,-0.3611738979816437
FMT050,full_rewrite,welfare,-0.1670391857624054
FMT051,full_rewrite,welfare,-0.10337323695421219
FMT052,full_rewrite,welfare,-0.13855531811714172
FMT055,full_rewrite,welfare,-0.31168332695961
FMT056,full_rewrite,welfare,-0.16853149235248566
FMT062,full_rewrite,welfare,-0.2184232920408249
FMT063,full_rewrite,welfare,-0.1468740999698639
FMT065,full_rewrite,welfare,-0.1769455522298813
FMT069,full_rewrite,welfare,-0.2820208668708801
FMT071,full_rewrite,welfare,-0.2880389392375946
FMT074,full_rewrite,welfare,-0.30099815130233765
FMT079,full_rewrite,welfare,-0.05461147055029869
FMT080,full_rewrite,welfare,-0.30892279744148254
FMT081,full_rewrite,welfare,-0.1444416493177414
FMT083,full_rewrite,welfare,-0.09752490371465683
FMT085,full_rewrite,welfare,-0.07626751810312271
FMT091,full_rewrite,welfare,-0.13402515649795532
FMT097,full_rewrite,welfare,-0.12919509410858154
FMT099,full_rewrite,welfare,-0.1211816743016243
FMT104,full_rewrite,welfare,-0.20384858548641205
FMT106,full_rewrite,welfare,-0.2015506774187088
FMT110,full_rewrite,welfare,-0.0943470150232315
FMT111,full_rewrite,welfare,-0.20403604209423065
FMT114,full_rewrite,welfare,-0.13326959311962128
FMT006,full_rewrite,nearby,-0.021599391475319862
FMT009,full_rewrite,nearby,-0.14149321615695953
FMT010,full_rewrite,nearby,-0.28225117921829224
FMT011,full_rewrite,nearby,-0.20918290317058563
FMT015,full_rewrite,nearby,-0.13563160598278046
FMT016,full_rewrite,nearby,-0.05674353986978531
FMT018,full_rewrite,nearby,-0.12174249440431595
FMT023,full_rewrite,nearby,-0.11818303912878036
FMT025,full_rewrite,nearby,-0.12010110914707184
FMT026,full_rewrite,nearby,-0.050490353256464005
FMT030,full_rewrite,nearby,-0.134245365858078
FMT031,full_rewrite,nearby,-0.13047757744789124
FMT032,full_rewrite,nearby,-0.015408317558467388
FMT033,full_rewrite,nearby,-0.24868060648441315
FMT037,full_rewrite,nearby,-0.13118822872638702
FMT038,full_rewrite,nearby,-0.151854008436203
FMT039,full_rewrite,nearby,-0.13309547305107117
FMT041,full_rewrite,nearby,-0.012979193590581417
FMT042,full_rewrite,nearby,-0.22327853739261627
FMT043,full_rewrite,nearby,-0.25884002447128296
FMT045,full_rewrite,nearby,-0.1196516752243042
FMT048,full_rewrite,nearby,-0.10795842856168747
FMT050,full_rewrite,nearby,-0.436085969209671
FMT051,full_rewrite,nearby,-0.2880527079105377
FMT052,full_rewrite,nearby,-0.19633783400058746
FMT055,full_rewrite,nearby,-0.3073708117008209
FMT056,full_rewrite,nearby,-0.19175605475902557
FMT062,full_rewrite,nearby,-0.1822575032711029
FMT063,full_rewrite,nearby,-0.20537342131137848
FMT065,full_rewrite,nearby,-0.08987729996442795
FMT069,full_rewrite,nearby,-0.1461198329925537
FMT071,full_rewrite,nearby,-0.23267590999603271
FMT074,full_rewrite,nearby,-0.2722516655921936
FMT079,full_rewrite,nearby,-0.26207199692726135
FMT080,full_rewrite,nearby,-0.14901229739189148
FMT081,full_rewrite,nearby,-0.04353492334485054
FMT083,full_rewrite,nearby,-0.10166670382022858
FMT085,full_rewrite,nearby,-0.10325711220502853
FMT091,full_rewrite,nearby,-0.13762612640857697
FMT097,full_rewrite,nearby,-0.16297706961631775
FMT099,full_rewrite,nearby,-0.28608545660972595
FMT104,full_rewrite,nearby,-0.0754704475402832
FMT106,full_rewrite,nearby,-0.16409848630428314
FMT110,full_rewrite,nearby,-0.14115552604198456
FMT111,full_rewrite,nearby,-0.2507317364215851
FMT114,full_rewrite,nearby,-0.09641249477863312
FMT006,rewrite_with_stripped_mlp,welfare,-1.3461698293685913
FMT009,rewrite_with_stripped_mlp,welfare,-0.4508498013019562
FMT010,rewrite_with_stripped_mlp,welfare,-0.9284130334854126
FMT011,rewrite_with_stripped_mlp,welfare,-1.4592751264572144
FMT015,rewrite_with_stripped_mlp,welfare,-2.5575737953186035
FMT016,rewrite_with_stripped_mlp,welfare,-1.1390045881271362
FMT018,rewrite_with_stripped_mlp,welfare,-0.3681694567203522
FMT023,rewrite_with_stripped_mlp,welfare,-3.036492109298706
